"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"강남구","개포2-213-02","37.4885","127.0680","1","2022-12-01"
"강남구","개포2-213-03","37.4885","127.0680","1","2022-12-01"
"강남구","개포2-213-04","37.4885","127.0680","1","2022-12-01"
"강남구","개포2-214-00","37.4827","127.0612","1","2022-12-01"
"강남구","개포2-214-01","37.4827","127.0612","1","2022-12-01"
"강남구","개포2-214-02","37.4827","127.0612","1","2022-12-01"
"강남구","개포2-214-03","37.4827","127.0612","1","2022-12-01"
"강남구","개포2-215-00","37.4828","127.0625","1","2022-12-01"
"강남구","개포2-215-01","37.4828","127.0625","1","2022-12-01"
"강남구","개포2-215-02","37.4828","127.0625","1","2022-12-01"
"강남구","개포2-215-03","37.4828","127.0625","1","2022-12-01"
"강남구","개포2-217-00","37.4896","127.0754","1","2022-12-01"
"강남구","개포2-217-01","37.4896","127.0754","1","2022-12-01"
"강남구","개포2-217-02","37.4896","127.0754","1","2022-12-01"
"강남구","개포2-218-00","37.4901","127.0709","1","2022-12-01"
"강남구","개포2-218-01","37.4901","127.0709","1","2022-12-01"
"강남구","개포2-218-02","37.4901","127.0709","1","2022-12-01"
"강남구","개포2-219-00","37.4843","127.0620","1","2022-12-01"
"강남구","개포2-219-01","37.4843","127.0620","1","2022-12-01"
"강남구","개포2-219-02","37.4843","127.0620","1","2022-12-01"
"강남구","개포2-219-03","37.4843","127.0620","1","2022-12-01"
"강남구","개포2-220-00","37.4869","127.0601","1","2022-12-01"
"강남구","개포2-220-01","37.4869","127.0601","1","2022-12-01"
"강남구","개포2-220-02","37.4869","127.0601","1","2022-12-01"
"강남구","개포2-220-03","37.4869","127.0601","1","2022-12-01"
"강남구","개포2-221-00","37.4890","127.0679","1","2022-12-01"
"강남구","개포2-221-01","37.4890","127.0679","1","2022-12-01"
"강남구","개포2-221-02","37.4890","127.0679","1","2022-12-01"
"강남구","개포2-221-03","37.4890","127.0679","1","2022-12-01"
"강남구","개포2-221-04","37.4890","127.0679","1","2022-12-01"
"강남구","개포2-222-00","37.4868","127.0697","1","2022-12-01"
"강남구","개포2-222-01","37.4868","127.0697","1","2022-12-01"
"강남구","개포2-222-02","37.4868","127.0697","1","2022-12-01"
"강남구","개포2-223-00","37.4860","127.0595","1","2022-12-01"
"강남구","개포2-223-01","37.4860","127.0595","1","2022-12-01"
"강남구","개포2-223-02","37.4860","127.0595","1","2022-12-01"
"강남구","개포2-224-00","37.4839","127.0592","1","2022-12-01"
"강남구","개포2-224-01","37.4839","127.0592","1","2022-12-01"
"강남구","개포2-224-02","37.4839","127.0592","1","2022-12-01"
"강남구","개포2-224-03","37.4839","127.0592","1","2022-12-01"
"강남구","개포2-225-00","37.4925","127.0719","1","2022-12-01"
"강남구","개포2-225-01","37.4925","127.0719","1","2022-12-01"
"강남구","개포2-225-02","37.4925","127.0719","1","2022-12-01"
"강남구","개포2-225-03","37.4925","127.0719","1","2022-12-01"
"강남구","개포2-226-00","37.4832","127.0698","1","2022-12-01"
"강남구","개포2-226-01","37.4832","127.0698","1","2022-12-01"
"강남구","개포2-226-02","37.4832","127.0698","1","2022-12-01"
"강남구","개포2-226-03","37.4832","127.0698","1","2022-12-01"
"강남구","개포2-227-00","37.4890","127.0744","1","2022-12-01"
"강남구","개포2-227-01","37.4890","127.0744","1","2022-12-01"
"강남구","개포2-228-00","37.4885","127.0716","1","2022-12-01"
"강남구","개포2-228-01","37.4885","127.0716","1","2022-12-01"
"강남구","개포2-228-02","37.4885","127.0716","1","2022-12-01"
"강남구","개포2-228-03","37.4885","127.0716","1","2022-12-01"
"강남구","개포2-229-00","37.4874","127.0646","1","2022-12-01"
"강남구","개포2-229-01","37.4874","127.0646","1","2022-12-01"
"강남구","개포2-229-02","37.4874","127.0646","1","2022-12-01"
"강남구","개포2-229-03","37.4874","127.0646","1","2022-12-01"
"강남구","개포2-230-00","37.4887","127.0618","1","2022-12-01"
"강남구","개포2-230-01","37.4887","127.0618","1","2022-12-01"
"강남구","개포2-230-02","37.4887","127.0618","1","2022-12-01"
"강남구","개포2-230-03","37.4887","127.0618","1","2022-12-01"
